Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
Solar Probe,None,Advanced,RandomMulti,0.0001,0,35,0,1275000,95,0,0,0,1,0,6.05803
Solar Probe,Minimal,None,RandomMulti,0.0001,0,35,0,1275000,65,65,65,0,1,10,5.31519
Solar Probe,Minimal,Basic,RandomMulti,0.0001,0,35,0,1275000,85,85,69,16,0.811765,10,5.53738
Solar Probe,Minimal,Standard,RandomMulti,0.0001,0,35,0,1275000,30,30,30,0,1,10,5.39049
Solar Probe,Minimal,Advanced,RandomMulti,0.0001,0,35,0,1275000,101,101,101,0,1,10,5.25884
Solar Probe,Moderate,None,RandomMulti,0.0001,0,35,0,1275000,138,138,126,12,0.913043,50,5.30595
Solar Probe,Moderate,Basic,RandomMulti,0.0001,0,35,0,1275000,238,238,196,42,0.823529,50,5.42475
Solar Probe,Moderate,Standard,RandomMulti,0.0001,0,35,0,1275000,54,54,54,0,1,50,5.364
Solar Probe,Moderate,Advanced,RandomMulti,0.0001,0,35,0,1275000,15,15,15,0,1,50,5.29262
Solar Probe,High,None,RandomMulti,0.0001,0,35,0,1275000,87,87,87,0,1,100,5.26708
Solar Probe,High,Basic,RandomMulti,0.0001,0,35,0,1275000,197,197,168,29,0.852792,100,5.50186
Solar Probe,High,Standard,RandomMulti,0.0001,0,35,0,1275000,117,117,85,32,0.726496,100,5.41897
Solar Probe,High,Advanced,RandomMulti,0.0001,0,35,0,1275000,159,159,79,80,0.496855,100,5.47886
Solar Probe,Very High,None,RandomMulti,0.0001,0,35,0,1275000,73,73,73,0,1,200,5.31315
Solar Probe,Very High,Basic,RandomMulti,0.0001,0,35,0,1275000,133,133,93,40,0.699248,200,5.39851
Solar Probe,Very High,Standard,RandomMulti,0.0001,0,35,0,1275000,198,198,157,41,0.792929,200,5.42697
Solar Probe,Very High,Advanced,RandomMulti,0.0001,0,35,0,1275000,48,48,48,0,1,200,6.03219
Solar Probe,Adaptive,None,RandomMulti,0.0001,0,35,0,1275000,171,171,167,4,0.976608,75,5.2921
Solar Probe,Adaptive,Basic,RandomMulti,0.0001,0,35,0,1275000,96,96,96,0,1,75,5.40281
Solar Probe,Adaptive,Standard,RandomMulti,0.0001,0,35,0,1275000,27,27,27,0,1,75,5.4242
Solar Probe,Adaptive,Advanced,RandomMulti,0.0001,0,35,0,1275000,67,67,67,0,1,75,5.36399
