Architecture,Mission,Protection,FineTuningLevel,Epochs,LearningRate,DropoutRate,Accuracy,AccuracyUnderRadiation,AccuracyPreservation,MemoryOverhead,ExecutionTime
Tanh (32-8),Lunar,Very High,3,500,0.006561,0,31.401,31.401,100,200,84.4178
Tanh (32-8),Lunar,Very High,3,1000,0.00254187,0,31.401,31.401,100,200,170.831
Tanh (32-8),Lunar,Very High,3,100,0.00254187,0.2,31.401,31.401,100,200,13.0311
Tanh (32-8),Lunar,Very High,3,500,0.00166772,0.2,31.401,31.401,100,200,68.0689
Tanh (32-8),Lunar,Very High,3,1000,0.000646108,0.2,31.401,31.401,100,200,136.666
Tanh (32-8),Lunar,Very High,3,100,0.000646108,0.5,31.401,31.401,100,200,8.79967
Tanh (32-8),Lunar,Very High,3,500,0.000423912,0.5,31.401,31.401,100,200,44.6486
Tanh (32-8),Lunar,Very High,3,1000,0.000164232,0.5,31.401,31.401,100,200,91.7598
Tanh (32-8),Lunar,Very High,3,100,0.05,0,31.401,31.401,100,200,17.9514
Tanh (32-8),Lunar,Very High,3,500,0.032805,0,31.401,31.401,100,200,220.729
Tanh (32-8),Lunar,Very High,3,1000,0.0127093,0,31.401,31.401,100,200,211.834
Tanh (32-8),Lunar,Very High,3,100,0.0127093,0.2,31.401,31.401,100,200,14.7695
Tanh (32-8),Lunar,Very High,3,500,0.00833859,0.2,31.401,31.401,100,200,76.7564
Tanh (32-8),Lunar,Very High,3,1000,0.00323054,0.2,31.401,31.401,100,200,266.383
Tanh (32-8),Lunar,Very High,3,100,0.00323054,0.5,31.401,31.401,100,200,10.4814
Tanh (32-8),Lunar,Very High,3,500,0.00211956,0.5,31.401,31.401,100,200,47.9385
Tanh (32-8),Lunar,Very High,3,1000,0.00082116,0.5,31.401,31.401,100,200,94.9617
Tanh (32-8),Lunar,Adaptive,3,100,0.001,0,31.401,31.401,100,75,18.1909
Tanh (32-8),Lunar,Adaptive,3,500,0.0006561,0,31.401,31.401,100,75,90.692
Tanh (32-8),Lunar,Adaptive,3,1000,0.000254187,0,31.401,31.401,100,75,176.971
Tanh (32-8),Lunar,Adaptive,3,100,0.000254187,0.2,31.401,31.401,100,75,13.0859
Tanh (32-8),Lunar,Adaptive,3,500,0.000166772,0.2,31.401,31.401,100,75,69.7301
Tanh (32-8),Lunar,Adaptive,3,1000,6.46108e-05,0.2,31.401,31.401,100,75,138.651
Tanh (32-8),Lunar,Adaptive,3,100,6.46108e-05,0.5,31.401,31.401,100,75,9.43262
Tanh (32-8),Lunar,Adaptive,3,500,4.23912e-05,0.5,31.401,31.401,100,75,44.3607
Tanh (32-8),Lunar,Adaptive,3,1000,1.64232e-05,0.5,31.401,31.401,100,75,87.6032
Tanh (32-8),Lunar,Adaptive,3,100,0.01,0,31.401,31.401,100,75,17.252
Tanh (32-8),Lunar,Adaptive,3,500,0.006561,0,31.401,31.401,100,75,86.5646
Tanh (32-8),Lunar,Adaptive,3,1000,0.00254187,0,31.401,31.401,100,75,172.4
Tanh (32-8),Lunar,Adaptive,3,100,0.00254187,0.2,31.401,31.401,100,75,13.2069
Tanh (32-8),GEO,None,3,500,4.23912e-05,0.5,31.401,31.401,100,0,60.9299
Tanh (32-8),Lunar,Adaptive,3,1000,0.000646108,0.2,31.401,31.401,100,75,139.85
Tanh (32-8),GEO,None,3,100,6.46108e-05,0.5,31.401,31.401,100,0,10.3202
Tanh (32-8),Lunar,Adaptive,3,500,0.000423912,0.5,31.401,31.401,100,75,43.2715
Tanh (32-8),Lunar,Adaptive,3,1000,0.000164232,0.5,31.401,31.401,100,75,88.9757
Tanh (32-8),Lunar,Adaptive,3,100,0.05,0,31.401,31.401,100,75,17.4443
Tanh (32-8),Lunar,Adaptive,3,500,0.032805,0,31.401,31.401,100,75,86.1328
Tanh (32-8),Lunar,Adaptive,3,1000,0.0127093,0,31.401,31.401,100,75,170.557
Tanh (32-8),Lunar,Adaptive,3,100,0.0127093,0.2,31.401,31.401,100,75,13.1286
Tanh (32-8),Solar Probe,Adaptive,3,500,0.00211956,0.5,31.401,31.401,100,75,44.2257
Tanh (32-8),Lunar,Adaptive,3,1000,0.00323054,0.2,31.401,31.401,100,75,138.398
Tanh (32-8),Solar Probe,Adaptive,3,100,0.00323054,0.5,31.401,31.401,100,75,8.68873
Tanh (32-8),Lunar,Adaptive,3,500,0.00211956,0.5,31.401,31.401,100,75,43.9616
Tanh (32-8),Lunar,Adaptive,3,1000,0.00082116,0.5,31.401,31.401,100,75,87.4699
Tanh (32-8),Mars,None,3,100,0.001,0,31.401,31.401,100,0,17.5117
Tanh (32-8),Mars,None,3,500,0.0006561,0,31.401,31.401,100,0,85.4461
Tanh (32-8),Mars,None,3,1000,0.000254187,0,31.401,31.401,100,0,406.714
Tanh (32-8),GEO,None,3,1000,6.46108e-05,0.2,31.401,31.401,100,0,178.551
Tanh (32-8),GEO,None,3,1000,1.64232e-05,0.5,31.401,31.401,100,0,131.617
Tanh (32-8),Mars,None,3,1000,6.46108e-05,0.2,31.401,31.401,100,0,174.154
Tanh (32-8),Mars,None,3,100,6.46108e-05,0.5,31.401,31.401,100,0,13.1005
Tanh (32-8),Mars,None,3,500,4.23912e-05,0.5,31.401,31.401,100,0,49.7212
Tanh (32-8),Mars,None,3,1000,1.64232e-05,0.5,31.401,31.401,100,0,122.817
Tanh (32-8),Mars,None,3,100,0.01,0,31.401,31.401,100,0,18.6206
Tanh (32-8),Mars,None,3,500,0.006561,0,31.401,31.401,100,0,252.387
Tanh (32-8),Mars,None,3,1000,0.00254187,0,31.401,31.401,100,0,191.77
Tanh (32-8),Mars,None,3,100,0.00254187,0.2,31.401,31.401,100,0,13.3401
Tanh (32-8),Mars,None,3,500,0.00166772,0.2,31.401,31.401,100,0,70.0025
Tanh (32-8),Mars,None,3,1000,0.000646108,0.2,31.401,31.401,100,0,139.34
Tanh (32-8),Mars,None,3,100,0.000646108,0.5,31.401,31.401,100,0,9.07432
Tanh (32-8),Mars,None,3,500,0.000423912,0.5,31.401,31.401,100,0,50.3146
Tanh (32-8),Mars,None,3,1000,0.000164232,0.5,31.401,31.401,100,0,88.1284
Tanh (32-8),Mars,None,3,100,0.05,0,31.401,31.401,100,0,17.0062
Tanh (32-8),Mars,None,3,500,0.032805,0,31.401,31.401,100,0,89.1565
Tanh (32-8),Mars,None,3,1000,0.0127093,0,31.401,31.401,100,0,179.423
Tanh (32-8),Mars,None,3,100,0.0127093,0.2,31.401,31.401,100,0,13.9238
Tanh (32-8),Mars,None,3,500,0.00833859,0.2,31.401,31.401,100,0,70.9275
Tanh (32-8),Mars,None,3,1000,0.00323054,0.2,31.401,31.401,100,0,138.626
Tanh (32-8),Mars,None,3,100,0.00323054,0.5,31.401,31.401,100,0,9.18669
Tanh (32-8),Mars,None,3,500,0.00211956,0.5,31.401,31.401,100,0,46.6528
Tanh (32-8),Mars,None,3,1000,0.00082116,0.5,31.401,31.401,100,0,88.261
Tanh (32-8),Mars,Minimal,3,100,0.001,0,31.401,31.401,100,10,17.1097
Tanh (32-8),Mars,Minimal,3,500,0.0006561,0,31.401,31.401,100,10,87.5228
Tanh (32-8),Mars,Minimal,3,1000,0.000254187,0,31.401,31.401,100,10,170.86
Tanh (32-8),Mars,Minimal,3,100,0.000254187,0.2,31.401,31.401,100,10,13.7764
Tanh (32-8),Mars,Minimal,3,500,0.000166772,0.2,31.401,31.401,100,10,69.6406
Tanh (32-8),Mars,Minimal,3,1000,6.46108e-05,0.2,31.401,31.401,100,10,138.018
Tanh (32-8),Mars,Minimal,3,100,6.46108e-05,0.5,31.401,31.401,100,10,8.45015
Tanh (32-8),Mars,Minimal,3,500,4.23912e-05,0.5,31.401,31.401,100,10,44.0471
Tanh (32-8),Mars,Minimal,3,1000,1.64232e-05,0.5,31.401,31.401,100,10,87.8349
Tanh (32-8),Mars,Minimal,3,100,0.01,0,31.401,31.401,100,10,17.2108
Tanh (32-8),GEO,None,3,500,0.000166772,0.2,31.401,31.401,100,0,93.111
Tanh (32-8),Mars,Minimal,3,1000,0.00254187,0,31.401,31.401,100,10,171.898
Tanh (32-8),Mars,Minimal,3,100,0.00254187,0.2,31.401,31.401,100,10,14.6119
Tanh (32-8),Mars,Minimal,3,500,0.00166772,0.2,31.401,31.401,100,10,79.497
Tanh (32-8),Mars,Minimal,3,1000,0.000646108,0.2,31.401,31.401,100,10,141.437
Tanh (32-8),Mars,Minimal,3,100,0.000646108,0.5,31.401,31.401,100,10,9.1161
Tanh (32-8),Mars,Minimal,3,500,0.000423912,0.5,31.401,31.401,100,10,45.1426
Tanh (32-8),Mars,Minimal,3,1000,0.000164232,0.5,31.401,31.401,100,10,87.6174
Tanh (32-8),Mars,Minimal,3,100,0.05,0,31.401,31.401,100,10,17.2185
Tanh (32-8),Mars,Minimal,3,500,0.032805,0,31.401,31.401,100,10,85.6983
Tanh (32-8),Mars,Minimal,3,1000,0.0127093,0,31.401,31.401,100,10,172.499
Tanh (32-8),Mars,Minimal,3,100,0.0127093,0.2,31.401,31.401,100,10,13.5405
Tanh (32-8),Mars,Minimal,3,500,0.00833859,0.2,31.401,31.401,100,10,69.7144
Tanh (32-8),Mars,Minimal,3,1000,0.00323054,0.2,31.401,31.401,100,10,138.188
Tanh (32-8),Mars,Minimal,3,100,0.00323054,0.5,31.401,31.401,100,10,9.22938
Tanh (32-8),Mars,Minimal,3,500,0.00211956,0.5,31.401,31.401,100,10,45.2454
Tanh (32-8),Mars,Minimal,3,1000,0.00082116,0.5,31.401,31.401,100,10,89.2444
Tanh (32-8),Mars,Moderate,3,100,0.001,0,31.401,31.401,100,50,17.7079
Tanh (32-8),Mars,Moderate,3,500,0.0006561,0,31.401,31.401,100,50,85.7324
Tanh (32-8),Mars,Moderate,3,1000,0.000254187,0,31.401,31.401,100,50,171.335
Tanh (32-8),Mars,Moderate,3,100,0.000254187,0.2,31.401,31.401,100,50,13.7947
Tanh (32-8),Mars,Moderate,3,500,0.000166772,0.2,31.401,31.401,100,50,68.6702
Tanh (32-8),Mars,Moderate,3,1000,6.46108e-05,0.2,31.401,31.401,100,50,137.92
Tanh (32-8),Mars,Moderate,3,100,6.46108e-05,0.5,31.401,31.401,100,50,9.25393
Tanh (32-8),Mars,Moderate,3,500,4.23912e-05,0.5,31.401,31.401,100,50,44.6925
Tanh (32-8),Mars,Moderate,3,1000,1.64232e-05,0.5,31.401,31.401,100,50,88.6329
Tanh (32-8),Mars,Moderate,3,100,0.01,0,31.401,31.401,100,50,17.3453
Tanh (32-8),Mars,Moderate,3,500,0.006561,0,31.401,31.401,100,50,86.1564
Tanh (32-8),Mars,Moderate,3,1000,0.00254187,0,31.401,31.401,100,50,171.327
Tanh (32-8),Mars,Moderate,3,100,0.00254187,0.2,31.401,31.401,100,50,13.5386
Tanh (32-8),Mars,Moderate,3,500,0.00166772,0.2,31.401,31.401,100,50,72.3134
Tanh (32-8),Mars,Moderate,3,1000,0.000646108,0.2,31.401,31.401,100,50,136.895
Tanh (32-8),Mars,Moderate,3,100,0.000646108,0.5,31.401,31.401,100,50,8.967
Tanh (32-8),Mars,Moderate,3,500,0.000423912,0.5,31.401,31.401,100,50,44.6871
Tanh (32-8),Mars,Moderate,3,1000,0.000164232,0.5,31.401,31.401,100,50,89.2355
Tanh (32-8),Mars,Moderate,3,100,0.05,0,31.401,31.401,100,50,17.0943
Tanh (32-8),Mars,Moderate,3,500,0.032805,0,31.401,31.401,100,50,85.6
